Customer ID,Location,Income Level,Social Media Sentiment,Feedback Score,External Service Usage,Churn
66261de6-1bbe-4f13-9a64-992d28684f65,Netherlands Antilles,Medium,Negative,1,No,Yes
9e37e09b-2f5e-4388-bebe-a8d70219e700,Costa Rica,High,Neutral,8,No,No
6a44178c-3c44-4bbb-9955-a330ac4b0018,Mayotte,High,Positive,2,Yes,No
ced10f15-f1c4-4bdd-8d87-7bf7f4fb9f76,Holy See (Vatican City State),High,Negative,5,Yes,Yes
115df2f0-ad70-4a6d-a767-4261596347ab,Tajikistan,Low,Positive,8,Yes,No
fef144d1-f9fd-4019-90a1-37b48e5710ef,Uruguay,High,Positive,5,Yes,No
da75bd15-f861-4fc9-bf0f-57fd6fbb82d2,Singapore,Medium,Neutral,7,No,Yes
2f54f542-1891-468d-9541-d6808a8ce1c9,Cocos (Keeling) Islands,Medium,Neutral,6,Yes,Yes
57a2633e-5226-4d21-97d4-8f6d631efc8d,Paraguay,Low,Positive,5,Yes,Yes
f4130b43-c715-4066-a470-1bef97dbfb36,Luxembourg,Low,Positive,3,No,No
8cce0f21-2c4b-4e3b-8de7-55c29c2b9975,Austria,Medium,Neutral,6,No,Yes
223c342e-f42c-4036-80c2-5d95c9c9ad94,Slovakia (Slovak Republic),High,Positive,9,Yes,No
7605d81a-527a-4691-a2e9-721d2c1fbb97,Togo,High,Positive,7,No,No
55a9c1ca-54cf-4373-9c3d-4bc13b13e2ae,Egypt,Medium,Positive,1,Yes,No
a809aea2-0b5f-48db-904d-c1f10e7aeaae,Korea,Low,Negative,5,Yes,No
5e7eb047-95e4-4946-ab77-135c9888d8e5,Tokelau,Medium,Negative,7,Yes,No
cb420736-2f57-40fa-abd5-67053e560c96,Zimbabwe,Low,Neutral,7,Yes,Yes
caac24e6-d4e7-460d-87a1-c6fab4e57857,Finland,High,Positive,7,Yes,No
4779254f-1c3d-4db5-ae3a-6fb223a735a2,Ukraine,High,Positive,6,Yes,Yes
e58716a8-d239-4a4a-9142-97ee1703f0d1,China,Medium,Negative,2,Yes,Yes
59429a0e-ea24-4278-a0d0-ef6d53fd0b44,Philippines,High,Neutral,2,No,No
1ce527d4-127d-43d6-9590-fca567b915c7,Saint Pierre and Miquelon,Medium,Neutral,6,Yes,No
21f51278-a352-4a82-a78c-d331ff31d07c,Malaysia,Medium,Positive,1,Yes,No
75a68b95-4dfe-4e70-bfc2-04ef8f6cd1f8,Bouvet Island (Bouvetoya),Low,Positive,6,No,Yes
5e594fee-468b-41b4-8349-d29bdb49c4b0,Nepal,Medium,Negative,5,No,No
7a86978a-dc84-4586-8b50-42fd0c44509a,Puerto Rico,Medium,Negative,1,Yes,Yes
